Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,132.520004,132.850006,130.630005,131.240005,131.017456,91420000
2021-04-13,132.440002,134.660004,131.929993,134.429993,134.202042,91266500
2021-04-14,134.940002,135.000000,131.660004,132.029999,131.806122,87222800
2021-04-15,133.820007,135.000000,133.639999,134.500000,134.271927,89347100
2021-04-16,134.300003,134.669998,133.279999,134.160004,133.932510,84922400
2021-04-19,133.509995,135.470001,133.339996,134.839996,134.611343,94264200
2021-04-20,135.020004,135.529999,131.809998,133.110001,132.884293,94812300
2021-04-21,132.360001,133.750000,131.300003,133.500000,133.273621,68847100
2021-04-22,133.039993,134.149994,131.410004,131.940002,131.716278,84566500
2021-04-23,132.160004,135.119995,132.160004,134.320007,134.092239,78657500
2021-04-26,134.830002,135.059998,133.559998,134.720001,134.491562,66905100
2021-04-27,135.009995,135.410004,134.110001,134.389999,134.162109,66015800
2021-04-28,134.309998,135.020004,133.080002,133.580002,133.353485,107760100
2021-04-29,136.470001,137.070007,132.449997,133.479996,133.253662,151101000
2021-04-30,131.779999,133.559998,131.070007,131.460007,131.237091,109839500
2021-05-03,132.039993,134.070007,131.830002,132.539993,132.315247,75135100
2021-05-04,131.190002,131.490005,126.699997,127.849998,127.633202,137564700
2021-05-05,129.199997,130.449997,127.970001,128.100006,127.882790,84000900
2021-05-06,127.889999,129.750000,127.129997,129.740005,129.520004,78128300
2021-05-07,130.850006,131.259995,129.479996,130.210007,130.210007,78973300
2021-05-10,129.410004,129.539993,126.809998,126.849998,126.849998,88071200
2021-05-11,123.500000,126.269997,122.769997,125.910004,125.910004,126142800
2021-05-12,123.400002,124.639999,122.250000,122.769997,122.769997,112172300
2021-05-13,124.580002,126.150002,124.260002,124.970001,124.970001,105861300
2021-05-14,126.250000,127.889999,125.849998,127.449997,127.449997,81918000
2021-05-17,126.820000,126.930000,125.169998,126.269997,126.269997,74244600
2021-05-18,126.559998,126.989998,124.779999,124.849998,124.849998,63342900
2021-05-19,123.160004,124.919998,122.860001,124.690002,124.690002,92612000
2021-05-20,125.230003,127.720001,125.099998,127.309998,127.309998,76857100
2021-05-21,127.820000,128.000000,125.209999,125.430000,125.430000,79295400
2021-05-24,126.010002,127.940002,125.940002,127.099998,127.099998,63092900
2021-05-25,127.820000,128.320007,126.320000,126.900002,126.900002,72009500
2021-05-26,126.959999,127.389999,126.419998,126.849998,126.849998,56575900
2021-05-27,126.440002,127.639999,125.080002,125.279999,125.279999,94625600
2021-05-28,125.570000,125.800003,124.550003,124.610001,124.610001,71311100
2021-06-01,125.080002,125.349998,123.940002,124.279999,124.279999,67637100
2021-06-02,124.279999,125.239998,124.050003,125.059998,125.059998,59278900
2021-06-03,124.680000,124.849998,123.129997,123.540001,123.540001,76229200
2021-06-04,124.070000,126.160004,123.849998,125.889999,125.889999,75169300
2021-06-07,126.169998,126.320000,124.830002,125.900002,125.900002,71057600
2021-06-08,126.599998,128.460007,126.209999,126.739998,126.739998,74403800
2021-06-09,127.209999,127.750000,126.519997,127.129997,127.129997,56877900
2021-06-10,127.019997,128.190002,125.940002,126.110001,126.110001,71186400
2021-06-11,126.529999,127.440002,126.099998,127.349998,127.349998,53522400
2021-06-14,127.820000,130.539993,127.070000,130.479996,130.479996,96906500
2021-06-15,129.940002,130.600006,129.389999,129.639999,129.639999,62746300
2021-06-16,130.369995,130.889999,128.460007,130.149994,130.149994,91815000
2021-06-17,129.800003,132.550003,129.649994,131.789993,131.789993,96721700
2021-06-18,130.710007,131.509995,130.240005,130.460007,130.460007,108953300
2021-06-21,130.300003,132.410004,129.210007,132.300003,132.300003,79663300
2021-06-22,132.130005,134.080002,131.619995,133.979996,133.979996,74783600
2021-06-23,133.770004,134.320007,133.229996,133.699997,133.699997,60214200
2021-06-24,134.449997,134.639999,132.929993,133.410004,133.410004,68711000
2021-06-25,133.460007,133.889999,132.809998,133.110001,133.110001,70783700
2021-06-28,133.410004,135.250000,133.350006,134.779999,134.779999,62111300
2021-06-29,134.800003,136.490005,134.350006,136.330002,136.330002,64556100
2021-06-30,136.169998,137.410004,135.869995,136.960007,136.960007,63261400
2021-07-01,136.600006,137.330002,135.759995,137.270004,137.270004,52485800
2021-07-02,137.899994,140.000000,137.750000,139.960007,139.960007,78852600
2021-07-06,140.070007,143.149994,140.070007,142.020004,142.020004,108181800
2021-07-07,143.539993,144.889999,142.660004,144.570007,144.570007,104911600
2021-07-08,141.580002,144.059998,140.669998,143.240005,143.240005,105410700
2021-07-09,142.750000,145.440002,142.652206,145.380005,145.380005,52450921
